META,PMID,AUTHOR,YEAR,AgeR,AgeC,SexR,SexC,HanR,HanC,PreR,PreC,CNSR,CNSC,NeuR,NeuC,MedR,MedC,RepR,RepC,EleR,EleC,TarR,TarC,PriR,PriC,NonR,NonC,CoiR,CoiC,OriR,OriC,CurR,CurC,LocR,LocC,StiR,StiC,IntR,IntC,PulR,PulC,HotR,HotC,MEPR,MEPC,DayR,DayC,AttR,AttC,ThrR,ThrC,NumR,NumC,TesR,TesC,ConR,ConC,ISIR,ISIC,MeaR,MeaC,UncR,UncC,TOT,NUMR,NUMC,SUMR,SUMC,PERCR,PERCC,R1R,R1C,R2R,R2C,PERCAG,PERCCH,AC1,AC95U,AC95L,KAPPA,KAPU,KAPL
MCDONNELL 2017,NAN,NAN,112,100,NAN,97,NAN,45,NAN,5,NAN,38,NAN,48,NAN,2,NAN,71,NAN,71,NAN,71,NAN,0,NAN,0,NAN,97,NAN,67,NAN,42,NAN,55,NAN,96,NAN,99,NAN,11,NAN,68,NAN,35,NAN,NAN,NAN,4,NAN,94,NAN,89,NAN,NAN,NAN,NAN,NAN,NAN,NAN,78,NAN,NAN,NAN,55.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
BEAULIEU 2017,NAN,NAN,34,100,NAN,100,NAN,74,38,12,12,32,29,35,38,24,24,9,6,91,44,88,38,0,0,NAN,0,74,94,71,6,38,12,76,74,100,100,94,87,29,29,88,58,50,41,100,56,12,3,100,77,76,71,80,70,80,70,80,70,86,82,58,40,54.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
KANIG 2023,NAN,NAN,15,100,7,93,27,80,40,NAN,NAN,20,7,73,13,27,NAN,13,7,87,13,93,43,33,20,7,7,93,0,87,0,53,0,80,17,100,NAN,93,33,67,NAN,87,7,93,50,100,77,33,7,100,7,100,20,NAN,NAN,NAN,NAN,NAN,NAN,97,13,93,67,48.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
OSNAEBRUGGE 2023,NAN,NAN,28,96,7,100,50,93,54,NAN,NAN,32,7,46,7,18,7,7,0,79,21,57,32,36,36,4,0,89,4,86,7,64,7,96,46,89,7,100,57,39,7,75,32,93,61,75,39,29,14,89,14,86,46,NAN,NAN,NAN,NAN,NAN,NAN,96,46,NAN,NAN,45.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
