META,PMID,CITATION,YEAR,AgeR,AgeC,SexR,SexC,HanR,HanC,PreR,PreC,CNSR,CNSC,NeuR,NeuC,MedR,MedC,RepR,RepC,EleR,EleC,TarR,TarC,PriR,PriC,NonR,NonC,CoiR,CoiC,OriR,OriC,CurR,CurC,LocR,LocC,StiR,StiC,IntR,IntC,PulR,PulC,HotR,HotC,MEPR,MEPC,DayR,DayC,AttR,AttC,ThrR,ThrC,NumR,NumC,TesR,TesC,ConR,ConC,ISIR,ISIC,MeaR,MeaC,UncR,UncC
SIOW 2019,27956894,Denton,2016,1,NaN,1,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN
SIOW 2019,27077743,Martinuzzi,2016,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN
ALDER 2019,15975980,Stinear,2005,1,1,1,NaN,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,NaN,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,16887105,Prior ,2006,1,1,1,NaN,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,17459350,Jayaram ,2007,1,1,1,NaN,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,NaN,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,17202240,MrachazNaNKresting,2007,1,0,1,NaN,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,17537908,Roy,2007,1,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALDER 2019,22836519,KumpulaNaNinen,2012,1,1,1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NaN,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,25659758,KumpulaNaNinen,2015,1,1,1,NaN,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,NaN,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,NaN,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,28473764,MrachazNaNKresting,2017,1,1,1,NaN,0,1,0,0,0,0,NaN,1,0,0,0,0,0,1,1,1,0,0,NaN,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,14557574,Uy,2003,1,0,1,NaN,1,0,0,0,0,0,1,NaN,0,0,0,0,1,0,1,1,1,0,NaN,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,NaN,1,1,0,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,17973101,Jayaram,2008,1,1,1,NaN,0,1,0,0,0,0,NaN,1,0,0,0,0,1,0,1,1,1,1,NaN,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,NaN,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,19584748,Jayaram ,2009,1,1,1,NaN,0,0,0,0,0,0,1,NaN,0,0,0,0,1,0,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,NaN,1,0,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ALDER 2019,21130032,Rogers,2011,1,1,1,NaN,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,NaN,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,NaN,NaN,1,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
GUNDUZ 2020,12951200,Schwenkreis 2003,2003,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,11880189,Irlbacher  2002,2002,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN
GUNDUZ 2020,11331390,Karl 2001,2001,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,11275535,Schwenkreis 2001,2001,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,2004259,Cohen 1991,1991,1,NaN,1,NaN,0,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN
GUNDUZ 2020,21391244,Gagné 2011,2011,1,NaN,1,NaN,1,NaN,1,NaN,1,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,1,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,11303768,Hamzei 2001,2001,1,NaN,1,NaN,0,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,7884476,Kew 1994,1994,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,10408544,Röricht 1999,1999,1,NaN,1,NaN,0,NaN,0,NaN,0,NaN,NA,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,10218906,Dettmers 1999,1999,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,NA,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
GUNDUZ 2020,8930960,PascualNaNLeone A 1996,1996,1,NaN,1,NaN,1,NaN,1,NaN,1,NaN,NA,NaN,1,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
ROHEL 2021,30018018,Algoet 2018,2018,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,1,NaN,1,NaN,0,1,NaN,0,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,1,NaN,NaN,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,30904520,Alhassani 2019,2019,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,0,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,29853849,Billot 2018,2018,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,1,1,1,NaN,1,NaN,0,1,NaN,1,1,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,0,0,0,0,1,NaN,NaN,1,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,26874884,Burns 2016,2016,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,0,0,NaN,0,NaN,0,1,NaN,1,1,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,1,0,0,0,1,NaN,NaN,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,12836584,Cheong 2003,2003,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,1,NaN,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
ROHEL 2021,31206866,Delahunty 2019,2019,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,0,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,1,0,1,0,NaN,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,17134682,Del Santo 2007,2007,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,1,NaN,0,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,1,0,1,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,NaN,Dubé 2011,2011,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,1,NaN,0,NaN,1,0,NaN,0,1,NaN,NaN,1,1,0,NaN,1,1,NaN,NaN,1,0,1,1,NaN,NaN,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,15135940,Fadiga 2004,2004,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
ROHEL 2021,11698155,Farina 2001,2001,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,1,NaN,NaN,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,NaN,Fierro 2010,2010,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,0,NaN,1,NaN,0,0,NaN,0,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,0,1,NaN,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,16328282,Halkjaer 2006,2006,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,0,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,1,1,0,NaN,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,9751300,Kaneko 1998,1998,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,0,0,NaN,NaN,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,9627189,Kofler 1998,1998,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,0,NaN,1,NaN,1,1,NaN,0,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
ROHEL 2021,11377265,Kofler 2001,2001,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,0,NaN,1,NaN,0,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,0,0,NaN,NaN,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,18421450,Kofler  2008,2008,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,1,1,NaN,NaN,NaN,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,29849568,Larsen 2018,2018,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,1,0,NaN,1,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,1,1,1,NaN,NaN,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,31218369,Larsen Sep 2019,2019,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,0,1,0,1,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,1,0,NaN,NaN,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,31077798,Larsen Nov 2019,2019,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,1,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,1,1,1,NaN,NaN,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,11514246,Le Pera 2001,2001,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,1,0,NaN,1,NaN,0,0,NaN,0,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,0,1,NaN,NaN,0,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,28188330,Martel 2017,2017,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,1,NaN,NaN,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,17884925,Martin 2008,2008,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,1,NaN,0,NaN,1,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,1,0,1,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,NaN,Mavromatis 2017,2017,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,0,1,0,0,1,NaN,0,NaN,0,1,NaN,1,1,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,NaN,Mercier 2016,2016,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,1,0,NaN,1,NaN,1,1,NaN,1,1,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,25260422,Naro 2015,2015,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,0,0,NaN,0,NaN,0,0,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,0,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,26264180,Rice 2015,2015,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,1,1,0,NaN,0,NaN,1,0,NaN,0,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,1,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,24815594,RittigNaNRassmussen 2014,2014,1,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,0,1,0,0,0,NaN,0,NaN,0,0,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,1,1,1,1,NaN,1,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
ROHEL 2021,11056191,Romaniello 2000,2000,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,1,1,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,30919012,Salo 2019,2019,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,0,NaN,0,NaN,0,0,NaN,1,1,NaN,NaN,1,1,0,NaN,1,1,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
ROHEL 2021,22227117,Schabrun 2012,2012,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,0,0,NaN,1,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,1,1,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,23357117,Schabrun 2013,2013,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,0,0,NaN,1,NaN,0,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,26599632,Schabrun 2015,2015,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,0,0,NaN,1,NaN,0,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,1,0,1,0,0,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,28525636,Schabrun 2017,2017,1,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,0,1,1,0,0,NaN,0,NaN,0,0,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,0,0,0,NaN,NaN,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,22744704,Suppa 2013,2013,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,0,NaN,1,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,0,0,1,0,1,NaN,NaN,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,12527318,Svensson 2003,2003,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,1,0,1,0,1,0,NaN,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,11713634,Tamburin 2001,2001,0,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,1,0,0,0,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,21333720,Tsao 2011,2011,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,1,1,1,NaN,0,NaN,1,1,NaN,1,0,NaN,NaN,0,0,1,NaN,1,0,NaN,NaN,1,1,0,0,NaN,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,15116369,Urban 2004,2004,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,0,NaN,0,NaN,0,1,NaN,0,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,0,0,NaN,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
ROHEL 2021,10454286,Valeriani 1999,1999,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,1,0,1,0,NaN,0,NaN,0,1,NaN,0,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,0,0,1,NaN,NaN,0,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
ROHEL 2021,11497058,Valeriani 2001,2001,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,1,0,NaN,0,NaN,0,1,NaN,0,0,NaN,NaN,0,0,1,NaN,1,1,NaN,NaN,0,0,0,0,1,NaN,NaN,0,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
ROHEL 2021,19889035,Zhang 2010,2010,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,0,0,0,NaN,0,NaN,0,1,NaN,1,0,NaN,NaN,1,0,1,NaN,1,1,NaN,NaN,1,1,1,0,1,NaN,NaN,0,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
STANISIC 2022,29489878,Baarbe,2018,1,0,1,NaN,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,NaN,0,1,1,1,1,0,0,0,0,1,1,1,NaN,0,0,0,0,0,0,NaN,NaN,0,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
STANISIC 2022,17870237,Boudreau,2007,1,0,1,NaN,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
STANISIC 2022,30884779,Dancey,2019,1,0,1,NaN,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,NaN,NaN,0,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
STANISIC 2022,29803671,De Martino,2018,1,1,1,NaN,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,NaN,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
