filename	acq_time
emg/sub-03_task-rest_acq-M101.edf	2023-08-04T12:09:46
emg/sub-03_task-rest_acq-M101.edf	2023-08-04T12:14:20
emg/sub-03_task-rest_acq-M101.edf	2023-08-04T12:16:58
emg/sub-03_task-rest_acq-M101.edf	2023-08-04T12:31:32
emg/sub-03_task-rest_acq-M101.edf	2023-08-04T11:39:42
emg/sub-03_task-rest_acq-M101.edf	2023-08-04T12:26:26
emg/sub-03_task-rest_acq-M101.edf	2023-08-04T12:00:06
emg/sub-03_task-rest_acq-SMG01.edf	2023-08-04T12:02:04
emg/sub-03_task-rest_acq-SMG01.edf	2023-08-04T11:26:34
emg/sub-03_task-rest_acq-SMG01.edf	2023-08-04T11:42:02
emg/sub-03_task-rest_acq-SMG01.edf	2023-08-04T11:14:10
emg/sub-03_task-rest_acq-SMG01.edf	2023-08-04T11:44:16
emg/sub-03_task-rest_acq-SMG01.edf	2023-08-04T12:28:50
emg/sub-03_task-rest_acq-SMG01.edf	2023-08-04T11:17:08
emg/sub-03_task-pegboard_acq-M101.edf	2023-08-04T11:32:34
emg/sub-03_task-pegboard_acq-M101.edf	2023-08-04T11:46:56
emg/sub-03_task-pegboard_acq-M101.edf	2023-08-04T11:55:02
emg/sub-03_task-pegboard_acq-M101.edf	2023-08-04T12:12:06
emg/sub-03_task-pegboard_acq-M101.edf	2023-08-04T12:05:30
emg/sub-03_task-pegboard_acq-M101.edf	2023-08-04T11:29:46
emg/sub-03_task-pegboard_acq-M101.edf	2023-08-04T11:57:50
emg/sub-03_task-pegboard_acq-SMG01.edf	2023-08-04T11:37:08
emg/sub-03_task-pegboard_acq-SMG01.edf	2023-08-04T11:20:40
emg/sub-03_task-pegboard_acq-SMG01.edf	2023-08-04T12:20:06
emg/sub-03_task-pegboard_acq-SMG01.edf	2023-08-04T11:52:34
emg/sub-03_task-pegboard_acq-SMG01.edf	2023-08-04T11:23:36
emg/sub-03_task-pegboard_acq-SMG01.edf	2023-08-04T11:49:54
emg/sub-03_task-pegboard_acq-SMG01.edf	2023-08-04T12:23:22
