filename	acq_time
emg/sub-04_task-rest_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-rest_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-M102.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-SMG02.edf	2023-08-10T15:18:00
emg/sub-04_task-pegboard_acq-SMG02.edf	2023-08-10T15:18:00
